product_ref,product_name,sku,variant_name,is_base,category,claims,compliance.sale_permitted,textile.care_code,textile.fibre_composition,image.HERO,image.DETAIL,GTIN_14,countryOfOrigin,Buyer,specs.power_w
PRD-141,Ashcombe Women's Slim Fit Jeggings,APP-141-C,Ashcombe Women's Slim Fit Jeggings Charcoal,false,apparel.womens.denim,,true,,100% Cotton,app-141-c-hero.svg,app-141-c-detail.svg,5000000000305,India,A. Whitfield,
PRD-197 ,Ashcombe Boys' Cotton T-Shirt 3 Pack,APP-197-A,Ashcombe Boys' Cotton T-Shirt 3 Pack,true ,apparel.kids.tops,,Yes,,100% Cotton,app-197-a-hero.svg,app-197-a-detail.svg,5000000000683,China,,
PRD-197,Ashcombe Boys' Cotton T-Shirt 3 Pack,APP-197-B,Ashcombe Boys' Cotton T-Shirt 3 Pack Navy, false,apparel.kids.tops,,true,,95% Cotton | 5% Elastane,app-197-b-hero.svg,app-197-b-detail.svg,5000000000690,Portugal,R. Okonjo,
PRD-211,Ashcombe Children's Cotton Pyjama Set,APP-211-B,Ashcombe Children's Cotton Pyjama Set Navy,false,apparel.kids.sleepwear,,true,,80% Cotton | 20% Polyester,app-211-b-hero.svg,app-211-b-detail.svg,5000000000788,Republic of Ireland ,,
PRD-234,Ashfleet Chelsea Ankle Boots,APP-234-B,Ashfleet Chelsea Ankle Boots Navy,false,apparel.footwear.boots,,true,,55% Linen | 45% Viscose,app-234-b-hero.svg,app-234-b-detail.svg,5000000000949,Viet Nam ,A. Whitfield,
PRD-223,Ashfleet Canvas Lace-Up Trainers,APP-223-A,Ashfleet Canvas Lace-Up Trainers,true, apparel.footwear.trainers,clinically proven ,false,HAND-NB-I1-F , 100% Cotton,app-223-a-hero.svg,app-223-a-detail.svg,5000000000865,Italy,,
PRD-234,Ashfleet Chelsea Ankle Boots,APP-234-A,Ashfleet Chelsea Ankle Boots,true,apparel.footwear.boots,cures dry skin,false,HAND-NB-I1-F,60% Cotton | 40% Polyester,app-234-a-hero.svg,app-234-a-detail.svg,5000000000942,India,R. Okonjo,
PRD-ASH901,Ashfleet Chukka Boots,ASH-901-A,Ashfleet Chukka Boots,true,apparel.footwear.boots,made-in-britain,true,HAND-NB-I1-F,70% Merino Wool | 30% Polyamide,ash-901-a-hero.svg, ash-901-a-detail.svg,03482623033680,Italy,,
 PRD-ASH902,Ashfleet Running Trainers,ASH-902-A,Ashfleet Running Trainers,true,apparel.footwear.trainers,,true,30-REG-NB-I2-W,100% Polyester,ash-902-a-hero.svg,ash-902-a-detail.svg,06931607305468,Spain, A. Whitfield,
PRD-ASH903,Ashfleet Sleepsuit,ASH-903-A,Ashfleet Sleepsuit,Y,apparel.kids.sleepwear,made-in-britain,,30-REG-NB-I2-W,55% Linen | 45% Viscose,ash-903-a-hero.svg,ash-903-a-detail.svg,03751062640251,Czechia,,
PRD-ASH904,Ashfleet Kids T-Shirt,ASH-904-A,Ashfleet Kids T-Shirt,true,apparel.kids.tops,made-in-britain,true,30-REG-NB-I2-W,70% Merino Wool | 30% Polyamide,ash-904-a-hero.svg,ash-904-a-detail.svg,08672126046490,France, R. Okonjo,
PRD-ASH905,Ashfleet Quilted Jacket,ASH-905-A,Ashfleet Quilted Jacket,Yes,apparel.mens.outerwear,made-in-britain,TRUE,HAND-NB-I1-F,55% Linen | 45% Viscose,ash-905-a-hero.svg,ash-905-a-detail.svg,01599986153303,United Kingdom,,
PRD-ASH905,Ashfleet Quilted Jacket,ASH-905-B,Ashfleet Quilted Jacket Premium,false,apparel.mens.outerwear,made-in-britain,Y,HAND-NB-I1-F,70% Merino Wool | 30% Polyamide,ash-905-b-hero.svg, ash-905-b-detail.svg,02877971181108,Spain,A. Whitfield,
PRD-ASH906,Ashfleet Flannel Check Shirt,ASH-906-A,Ashfleet Flannel Check Shirt,true,apparel.mens.shirts,made-in-britain,true,30-DEL-NB-I1-P,,ash-906-a-hero.svg,ash-906-a-detail.svg,01253234959005,United Kingdom,,
PRD-ASH906,Ashfleet Flannel Check Shirt,ASH-906-B,Ashfleet Flannel Check Shirt Everyday,false,apparel.mens.shirts,made-in-britain,TRUE,HAND-NB-I1-F,55% Linen | 45% Viscose,ash-906-b-hero.svg,ash-906-b-detail.svg,09237477102429,Germany ,R. Okonjo,
