product_ref,product_name,sku,variant_name,is_base,category,claims,compliance.certificate_ref,compliance.sale_permitted,food.allergens.contains,food.allergens.may_contain,food.ingredients,pack.net_quantity,pack.unit,packaging.recyclable_pct,specs.battery_type,image.PACK_FRONT,image.DETAIL,GTIN_14,countryOfOrigin,Supplier Notes
PRD-182,Larkspur Plush Activity Elephant,BAB-182-B ,Larkspur Plush Activity Elephant Multipack,false,baby.toys.soft,, BS-EN-2487,true,,,,,,,Lithium polymer 3.8 V,bab-182-b-pack_front.svg,bab-182-b-detail.svg,5000000000585,Republic of Ireland,
PRD-182,Larkspur Plush Activity Elephant,BAB-182-C,Larkspur Plush Activity Elephant Large Pack,false,baby.toys.soft,,,true,,,,,,33,Lithium-ion 3.7 V 2000 mAh,bab-182-c-pack_front.svg,bab-182-c-detail.svg,5000000000592, Portugal,checked 02/26
PRD-198,Larkspur Shape Sorter Cube,BAB-198-A,Larkspur Shape Sorter Cube,true,baby.toys.activity,,UKCA-2851,true ,,,,,,,Lithium-ion 3.7 V 2000 mAh,bab-198-a-pack_front.svg,bab-198-a-detail.svg,5000000000690,India,as agreed with buying
PRD-198,Larkspur Shape Sorter Cube,BAB-198-B,Larkspur Shape Sorter Cube Multipack, false,baby.toys.activity,,,true,,,,,,94,2 x AA alkaline,bab-198-b-pack_front.svg, bab-198-b-detail.svg,5000000000697,China,
PRD-134,Larkspur Anti-Colic Bottle 260 ml,BAB-134-A ,Larkspur Anti-Colic Bottle 260 ml,true,baby.feeding.bottles ,clinically proven,DOC-CE-2857,false,,,,720.0,g, 20,,bab-134-a-pack_front.svg,bab-134-a-detail.svg, 5000000000242,Turkey,
PRD-142,Larkspur Silicone Teat 2 Pack ,BAB-142-B,Larkspur Silicone Teat 2 Pack Multipack ,false,baby.feeding.bottles,cures dry skin,DOC-CE-2445,No,,,,700.0,g,90,,bab-142-b-pack_front.svg,bab-142-b-detail.svg,5000000000305,Viet Nam,checked 02/26
PRD-HOL901,Hollowbrook Wide Neck Bottle,HOL-901-A,Hollowbrook Wide Neck Bottle,true,baby.feeding.bottles,made-in-britain,CE-2025-65166,TRUE,,,,870.0,ml,94,,hol-901-a-pack_front.svg,hol-901-a-detail.svg,05976547050249,Italy ,as agreed with buying
PRD-HOL902,Hollowbrook Hungry Baby Milk,HOL-902-A,Hollowbrook Hungry Baby Milk,true,baby.feeding.formula,peanut-free | gluten-free,,true,milk,gluten,skimmed milk | lactose | vegetable oils | whey protein, 451.0,g,,,hol-902-a-pack_front.svg,hol-902-a-detail.svg,08756360165948,Spain ,
PRD-HOL902 ,Hollowbrook Hungry Baby Milk,HOL-902-B,Hollowbrook Hungry Baby Milk Deluxe ,N,baby.feeding.formula,made-in-britain,,true,milk,gluten,skimmed milk | lactose | vegetable oils | whey protein, 990.0,ml,80,,hol-902-b-pack_front.svg,hol-902-b-detail.svg,07972149185000,Czechia,
PRD-HOL903,Hollowbrook Nappies Jumbo Pack,HOL-903-A,Hollowbrook Nappies Jumbo Pack,true,baby.nappies.nappies,recyclable-packaging,,,,,,990.0,g,83,,hol-903-a-pack_front.svg,hol-903-a-detail.svg,04461306047334,Netherlands,checked 02/26
PRD-HOL904,Hollowbrook Shape Sorter,HOL-904-A,Hollowbrook Shape Sorter,true,baby.toys.activity,peanut-free | gluten-free,CE-2026-73840,true,,,,,,94,Lithium polymer 3.8 V,hol-904-a-pack_front.svg,hol-904-a-detail.svg,00883413619769,Vietnam,as agreed with buying
PRD-HOL905,Hollowbrook Comforter Blanket,HOL-905-A,Hollowbrook Comforter Blanket,Yes,baby.toys.soft,peanut-free,CE-2024-74427,true,,,,,,19,CR2032 coin cell,hol-905-a-pack_front.svg,hol-905-a-detail.svg,01448939360037,India,
PRD-HOL906,Hollowbrook Fruit Pouch,HOL-906-A,Hollowbrook Fruit Pouch,true,baby.feeding.weaning,made-in-britain,,true,milk ,gluten,,1035.0,g,94,,hol-906-a-pack_front.svg,hol-906-a-detail.svg,05772559738215,Germany,
PRD-HOL906,Hollowbrook Fruit Pouch,HOL-906-B,Hollowbrook Fruit Pouch Classic,false,baby.feeding.weaning,peanut-free | gluten-free | recyclable-packaging,,true,milk,gluten,skimmed milk | lactose | vegetable oils | whey protein,968.0,g ,78,,hol-906-b-pack_front.svg,hol-906-b-detail.svg,01299794309918,Germany,checked 02/26
