product_ref | product_name | sku | variant_name | is_base | category | claims | compliance.sale_permitted | textile.care_code | textile.fibre_composition | image.HERO | image.DETAIL | GTIN_14 | countryOfOrigin | internal_ref | specs.power_w
PRD-242 | Ashcombe Faux Leather Tote Bag | APP-242-A | Ashcombe Faux Leather Tote Bag | Y | apparel.accessories.bags |  | true |  |  80% Cotton / 20% Polyester | app-242-a-hero.svg | app-242-a-detail.svg | 5000000000998 | Italy | REF-8841 | 
PRD-244 | Ashcombe Canvas Backpack 20 L | APP-244-A | Ashcombe Canvas Backpack 20 L | true | apparel.accessories.bags |  | Yes |  | 95% Cotton / 5% Elastane  | app-244-a-hero.svg | app-244-a-detail.svg | 5000000001012 | Italy | REF-8842 | 
PRD-217 | Ashcombe Children's Fleece Onesie | APP-217-A | Ashcombe Children's Fleece Onesie | true | apparel.kids.sleepwear | clinically proven | false |  30-DEL-NB-I1-P |  70% Merino Wool / 30% Polyamide | app-217-a-hero.svg | app-217-a-detail.svg | 5000000000823 | China |  | 
PRD-229 | Ashfleet Running Trainers | APP-229-B | Ashfleet Running Trainers Navy | false | apparel.footwear.trainers  | cures dry skin  | false | HAND-NB-I1-F | 95% Cotton / 5% Elastane |  app-229-b-hero.svg | app-229-b-detail.svg | 5000000000914 | Viet Nam |  | 
PRD-WRE901 | Wrenfield Backpack | WRE-901-A | Wrenfield Backpack | true | apparel.accessories.bags  | made-in-britain |  true | 30-REG-NB-I2-W | 95% Cotton / 5% Elastane | wre-901-a-hero.svg | wre-901-a-detail.svg | 04077017654644 | Portugal | REF-8841 | 
PRD-WRE902 | Wrenfield Court Trainers | WRE-902-A | Wrenfield Court Trainers |  true | apparel.footwear.trainers | made-in-britain | Yes | 30-DEL-NB-I1-P | 55% Linen / 45% Viscose | wre-902-a-hero.svg | wre-902-a-detail.svg | 07090088696653  |  | REF-8842 | 
PRD-WRE903 | Wrenfield Fleece Onesie | WRE-903-A | Wrenfield Fleece Onesie | TRUE | apparel.kids.sleepwear | made-in-britain |  | 40-REG-NB-I2-P | 80% Cotton / 20% Polyester | wre-903-a-hero.svg | wre-903-a-detail.svg | 01872117150482 | Czechia |  | 
PRD-WRE904 | Wrenfield Merino Crew Neck  | WRE-904-A  | Wrenfield Merino Crew Neck |  true | apparel.mens.knitwear | made-in-britain  | true  | 30-DEL-NB-I1-P  | 100% Cotton | wre-904-a-hero.svg | wre-904-a-detail.svg | 01977100079317 | Netherlands |  | 
PRD-WRE904 | Wrenfield Merino Crew Neck | WRE-904-B | Wrenfield Merino Crew Neck Value Pack | No | apparel.mens.knitwear | made-in-britain | true | 40-REG-NB-I2-P | 60% Cotton / 40% Polyester | wre-904-b-hero.svg | wre-904-b-detail.svg | 00323657935874 | Italy | REF-8841 | 
PRD-WRE905 | Wrenfield Poplin Dress Shirt | WRE-905-A | Wrenfield Poplin Dress Shirt | true | apparel.mens.shirts | made-in-britain | true | HAND-NB-I1-F | 100% Cotton | wre-905-a-hero.svg | wre-905-a-detail.svg | 03843825271498 | Czechia | REF-8842 | 
PRD-WRE906 | Wrenfield Straight Leg Jeans | WRE-906-A | Wrenfield Straight Leg Jeans | Y |  apparel.womens.denim | made-in-britain | true | HAND-NB-I1-F |  | wre-906-a-hero.svg | wre-906-a-detail.svg | 07358201159112 | Italy |  | 
PRD-WRE906 | Wrenfield Straight Leg Jeans | WRE-906-B | Wrenfield Straight Leg Jeans Value Pack | false | apparel.womens.denim | made-in-britain | true | 40-REG-NB-I2-P | 100% Cotton | wre-906-b-hero.svg | wre-906-b-detail.svg | 04767994382929  | Republic of Ireland |  | 
