product_ref,product_name,sku,variant_name,is_base,category,claims,compliance.certificate_ref,compliance.min_age,compliance.sale_permitted,pack.net_quantity,pack.unit,specs.battery_type,image.HERO,image.DETAIL,GTIN_14,countryOfOrigin,Buyer
PRD-185,Ashcombe Padded Dog Harness Medium,GEN-185-C,Ashcombe Padded Dog Harness Medium Large Pack,false ,general.pet.accessories,,,,true,1070.0,ml,,gen-185-c-hero.svg,gen-185-c-detail.svg,5000000000613,India,A. Whitfield
PRD-193,Ashcombe Cat Scratching Post 50 cm,GEN-193-A,Ashcombe Cat Scratching Post 50 cm,true,general.pet.accessories,,,,true,1170.0,g,,gen-193-a-hero.svg,gen-193-a-detail.svg,5000000000655,Turkey,
PRD-193,Ashcombe Cat Scratching Post 50 cm,GEN-193-B,Ashcombe Cat Scratching Post 50 cm Multipack,false ,general.pet.accessories,,,,true,750.0,g,,gen-193-b-hero.svg,gen-193-b-detail.svg,5000000000662 ,Poland,R. Okonjo 
 PRD-193,Ashcombe Cat Scratching Post 50 cm ,GEN-193-C,Ashcombe Cat Scratching Post 50 cm Large Pack,false, general.pet.accessories,made-in-britain,,,true,210.0,g,,gen-193-c-hero.svg,gen-193-c-detail.svg,5000000000669,United Kingdom,
PRD-214,Ashcombe Matt Emulsion Paint White 2.5 L,GEN-214-B,Ashcombe Matt Emulsion Paint White 2.5 L Plus,false,general.diy.paint,,EN71-3-2859,,true,270.0,ml,,gen-214-b-hero.svg,gen-214-b-detail.svg,5000000000809,India,A. Whitfield
PRD-220,Ashcombe Gloss Wood Paint 750 ml,GEN-220-A,Ashcombe Gloss Wood Paint 750 ml,true,general.diy.paint,,EN71-3-2564,,Yes,660.0,g,,gen-220-a-hero.svg,gen-220-a-detail.svg,5000000000844,Viet Nam,
PRD-226,Ashcombe A4 Printer Paper 500 Sheets,GEN-226-A,Ashcombe A4 Printer Paper 500 Sheets,true,general.stationery.paper,,,,true,,,,gen-226-a-hero.svg,gen-226-a-detail.svg ,5000000000886,Portugal,R. Okonjo
PRD-214,Ashcombe Matt Emulsion Paint White 2.5 L,GEN-214-A,Ashcombe Matt Emulsion Paint White 2.5 L,true,general.diy.paint,,CE-2026-13710,,true,N/A,ml,,gen-214-a-hero.svg,gen-214-a-detail.svg,5000000000802,Portugal,
PRD-169,Ashcombe Complete Dry Dog Food Chicken 3 kg,GEN-169-B,Ashcombe Complete Dry Dog Food Chicken 3 kg Multipack,false,general.pet.dogfood,,,,true,"40,0",g,,gen-169-b-hero.svg,gen-169-b-detail.svg,5000000000494,Turkey,A. Whitfield
PRD-169,Ashcombe Complete Dry Dog Food Chicken 3 kg,GEN-169-A,Ashcombe Complete Dry Dog Food Chicken 3 kg,true,general.pet.dogfood,made-in-britain,,,true,610.0,ml,,gen-169-a-hero.svg,gen-169-a-detail.svg,5000000000487,United Kingdom,
PRD-121,Draycott Garden Trampoline 8 ft,GEN-121-A,Draycott Garden Trampoline 8 ft,Y,general.toys.outdoor,,,,true,,,Lithium polymer 3.8 V,gen-121-a-hero.svg ,gen-121-a-detail.svg,5000000000151,Italy,R. Okonjo
PRD-121, Draycott Garden Trampoline 8 ft,GEN-121-B,Draycott Garden Trampoline 8 ft Plus,false, general.toys.outdoor,,,,true,,,CR2032 coin cell,gen-121-b-hero.svg,gen-121-b-detail.svg,5000000000158,Italy,
PRD-121,Draycott Garden Trampoline 8 ft,GEN-121-C,Draycott Garden Trampoline 8 ft Max,false,general.toys.outdoor,,,,true,,,Lithium polymer 3.8 V,gen-121-c-hero.svg,gen-121-c-detail.svg,5000000000165,Poland,A. Whitfield
PRD-201,Fenwold 12 Piece Screwdriver Set,GEN-201-A,Fenwold 12 Piece Screwdriver Set,true,general.diy.handtools,,,18,true ,,,,gen-201-a-hero.svg,gen-201-a-detail.svg,5000000000711,Portugal,
PRD-201, Fenwold 12 Piece Screwdriver Set,GEN-201-B, Fenwold 12 Piece Screwdriver Set Plus, false,general.diy.handtools,,,18,true,,,,gen-201-b-hero.svg,gen-201-b-detail.svg,5000000000718 ,Portugal,R. Okonjo
PRD-226,Ashcombe A4 Printer Paper 500 Sheets,GEN-226-B,Ashcombe A4 Printer Paper 500 Sheets Plus,false,general.stationery.paper, clinically proven,,,N,,,,gen-226-b-hero.svg,gen-226-b-detail.svg,5000000000893, Portugal,
PRD-226,Ashcombe A4 Printer Paper 500 Sheets,GEN-226-C,Ashcombe A4 Printer Paper 500 Sheets Max,false,general.stationery.paper, cures dry skin,,,false,,,,gen-226-c-hero.svg,gen-226-c-detail.svg,5000000000900,China,A. Whitfield
PRD-FEN901,Fenwold Claw Hammer ,FEN-901-A,Fenwold Claw Hammer,true,general.diy.handtools,made-in-britain,CE-2026-15033,16,true,,,,fen-901-a-hero.svg , fen-901-a-detail.svg,02695363885991,Vietnam,
PRD-FEN902,Fenwold Primer Undercoat,FEN-902-A,Fenwold Primer Undercoat,true ,general.diy.paint,made-in-britain ,CE-2026-84552,,true,275.0,g,,fen-902-a-hero.svg,fen-902-a-detail.svg,,Spain,R. Okonjo
PRD-FEN903,Fenwold Border Spade,FEN-903-A,Fenwold Border Spade,true,general.garden.tools,made-in-britain,CE-2026-12070,,,,,,fen-903-a-hero.svg,fen-903-a-detail.svg,03889633090575,Czechia,
 PRD-FEN904,Fenwold Grooming Brush ,FEN-904-A ,Fenwold Grooming Brush,true,general.pet.accessories,made-in-britain,,, true,610.0,ml,,fen-904-a-hero.svg,fen-904-a-detail.svg,09958522349784,Spain,A. Whitfield
PRD-FEN904,Fenwold Grooming Brush,FEN-904-B,Fenwold Grooming Brush Standard,false,general.pet.accessories,made-in-britain,,,Yes,279.0,ml,,fen-904-b-hero.svg,fen-904-b-detail.svg,07935899254941 ,Germany,
PRD-FEN905,Fenwold Puppy Dry Food,FEN-905-A,Fenwold Puppy Dry Food,true,general.pet.dogfood,made-in-britain,,,true,730.0,g ,,fen-905-a-hero.svg,fen-905-a-detail.svg,07393409313430,China,R. Okonjo
PRD-FEN905,Fenwold Puppy Dry Food,FEN-905-B,Fenwold Puppy Dry Food Standard,false,general.pet.dogfood,made-in-britain,,,true,671.0,ml,,fen-905-b-hero.svg,fen-905-b-detail.svg,04425970764621,Portugal,
PRD-FEN906,Fenwold Hardback Notebook,FEN-906-A,Fenwold Hardback Notebook,true,general.stationery.paper,made-in-britain,,,true,,,, fen-906-a-hero.svg,fen-906-a-detail.svg,,France,A. Whitfield
