product_ref | product_name | sku | variant_name | is_base | category | claims | compliance.min_age | compliance.sale_permitted | food.allergens.contains | food.allergens.may_contain | food.fibre_g | food.ingredients | food.net_weight_g | origin.country | pack.unit | packaging.recyclable_pct | image.PACK_FRONT | image.INGREDIENT_PANEL | image.DETAIL | netContent | GTIN_14 | Supplier Notes
PRD-207 | Ashcombe Creamy Brie 200 g | FOO-207-A | Ashcombe Creamy Brie 200 g | true | food.dairy.cheese | peanut-free / gluten-free / high-fibre / recyclable-packaging |  |  true | milk |  | 8.8 | milk / salt / starter culture / vegetarian rennet | 70 | Viet Nam | g | 100 | foo-207-a-pack_front.svg | foo-207-a-ingredient_panel.svg | foo-207-a-detail.svg | 790.0 | 5000000000753 | 
PRD-207  | Ashcombe Creamy Brie 200 g | FOO-207-C | Ashcombe Creamy Brie 200 g Large Pack | false | food.dairy.cheese | peanut-free / gluten-free |  | true | milk |  | 0.7 | milk / salt / starter culture / vegetarian rennet | 60 | Viet Nam | g | 81  | foo-207-c-pack_front.svg | foo-207-c-ingredient_panel.svg | foo-207-c-detail.svg | 640.0  | 5000000000767 | checked 02/26
PRD-235  | Ashcombe Chicken Tikka Masala & Pilau Rice | FOO-235-A | Ashcombe Chicken Tikka Masala & Pilau Rice | true | food.chilled.ready-meals | peanut-free / high-fibre |  | true  | milk | gluten / celery | 6.3 | rice / chicken / tomato / cream / spices | 100 | Republic of Ireland | g | 55 | foo-235-a-pack_front.svg | foo-235-a-ingredient_panel.svg | foo-235-a-detail.svg | 930.0 | 5000000000949 | as agreed with buying
PRD-104 | Ashcombe All Butter Shortbread Fingers | FOO-104-A | Ashcombe All Butter Shortbread Fingers | true | food.bakery.biscuits | peanut-free |  | true | gluten / milk / egg | nuts | 0.5 | wheat flour / butter / sugar / eggs / salt | 272 g | Italy |  g | 70 | foo-104-a-pack_front.svg | foo-104-a-ingredient_panel.svg |  foo-104-a-detail.svg | 200.0  | 5000000000032  | 
PRD-120 | Ashcombe Oat & Raisin Cookies | FOO-120-B | Ashcombe Oat & Raisin Cookies Multipack  | false | food.bakery.biscuits  | peanut-free  |  | true | gluten / milk / egg | nuts | N/A | wheat flour / butter / sugar / eggs / salt | 450 | Italy | ml | 55  | foo-120-b-pack_front.svg | foo-120-b-ingredient_panel.svg | foo-120-b-detail.svg | 910.0 | 5000000000151 | 
PRD-225 | Ashcombe Strawberry Yoghurt 4 x 125 g | FOO-225-A | Ashcombe Strawberry Yoghurt 4 x 125 g | true | food.dairy.yoghurt | peanut-free / gluten-free / high-fibre |  | true | milk | nuts | 7.8 | milk / live cultures / sugar | 320 g | Portugal | ml | 65 | foo-225-a-pack_front.svg | foo-225-a-ingredient_panel.svg | foo-225-a-detail.svg | 90.0 | 5000000000879 | checked 02/26
PRD-184 |  Ashcombe Whole Milk 1 L | FOO-184-B | Ashcombe Whole Milk 1 L Multipack | N | food.dairy.milk | peanut-free / gluten-free |  | true | milk |  | 1.7  | milk |  |  Turkey | ml | 65 | foo-184-b-pack_front.svg | foo-184-b-ingredient_panel.svg  | foo-184-b-detail.svg | 490.0 | 5000000000599 | as agreed with buying
PRD-207 | Ashcombe Creamy Brie 200 g | FOO-207-B | Ashcombe Creamy Brie 200 g Multipack | false | food.dairy.cheese | peanut-free / gluten-free / high-fibre |  | true | milk |  | 7.0 | milk / salt / starter culture / vegetarian rennet |  | Italy | g | 75  | foo-207-b-pack_front.svg | foo-207-b-ingredient_panel.svg | foo-207-b-detail.svg | 520.0 | 5000000000760 | 
PRD-235 | Ashcombe Chicken Tikka Masala & Pilau Rice | FOO-235-B | Ashcombe Chicken Tikka Masala & Pilau Rice Multipack | false | food.chilled.ready-meals | clinically proven |  | N | milk | gluten / celery | 2.0 | rice / chicken / tomato / cream / spices | 310  | Italy | g  | 80 | foo-235-b-pack_front.svg | foo-235-b-ingredient_panel.svg | foo-235-b-detail.svg | 370.0  | 5000000000956 | 
 PRD-235 | Ashcombe Chicken Tikka Masala & Pilau Rice | FOO-235-C | Ashcombe Chicken Tikka Masala & Pilau Rice Large Pack  | false | food.chilled.ready-meals | cures dry skin |  | No | milk | gluten / celery  | 6.6 | rice / chicken / tomato / cream / spices  | 330 | Portugal | g | 99 | foo-235-c-pack_front.svg | foo-235-c-ingredient_panel.svg | foo-235-c-detail.svg | 610.0 | 5000000000963 | checked 02/26
PRD-TES901 | Tessington Digestive Biscuits | TES-901-A | Tessington Digestive Biscuits | Y | food.bakery.biscuits | peanut-free / gluten-free / high-fibre |  | Y | gluten / milk / egg | milk | 5.9 | oats / honey / almonds / sunflower oil / dried cranberries | 492 | Portugal | ml | 60% | tes-901-a-pack_front.svg  | tes-901-a-ingredient_panel.svg | tes-901-a-detail.svg | 760.0 | 09964803319674 | as agreed with buying
PRD-TES901 | Tessington Digestive Biscuits | TES-901-B | Tessington Digestive Biscuits Twin Pack  | false | food.bakery.biscuits | peanut-free / high-fibre |  | true | gluten | gluten / celery | 6.5g | wheat flour / sugar / eggs / butter / raising agent | 131 | Germany | ml | 75 | tes-901-b-pack_front.svg | tes-901-b-ingredient_panel.svg | tes-901-b-detail.svg | 1001.0 | 05299472690862 | 
PRD-TES902 | Tessington Seeded Farmhouse Loaf | TES-902-A | Tessington Seeded Farmhouse Loaf | true | food.bakery.bread | peanut-free |  | true | gluten / egg / milk | sesame |  | wheat flour / water / yeast / salt | 569 | United Kingdom | ml | 48 | tes-902-a-pack_front.svg | tes-902-a-ingredient_panel.svg | tes-902-a-detail.svg |  950.0 | 05960122732350 | 
PRD-TES903 | Tessington Victoria Sponge | TES-903-A | Tessington Victoria Sponge | true | food.bakery.cakes | peanut-free / high-fibre / made-in-britain |  |  | milk | gluten / celery |  1.7 | wheat flour / water / yeast / salt | 320 g | Czechia | g | 94 | tes-903-a-pack_front.svg | tes-903-a-ingredient_panel.svg | tes-903-a-detail.svg | 891.0 | 06530618174825 | checked 02/26
PRD-TES904 | Tessington Cottage Pie | TES-904-A | Tessington Cottage Pie  | true | food.chilled.ready-meals | peanut-free / gluten-free |  | true | milk | sesame | 0.6 |  milk / salt / starter culture / vegetarian rennet |  132 | Spain | g | 18  | tes-904-a-pack_front.svg | tes-904-a-ingredient_panel.svg | tes-904-a-detail.svg | 750.0 | 00100137548467 | as agreed with buying
PRD-TES905 | Tessington Creamy Brie | TES-905-A | Tessington Creamy Brie  | true | food.dairy.cheese | high-fibre |  | true | gluten / egg / milk | sesame | 3.0 | milk / live cultures / sugar | 550 | India | g | 82 | tes-905-a-pack_front.svg | tes-905-a-ingredient_panel.svg | tes-905-a-detail.svg | 704.0 | 07095428638052  | 
 PRD-TES905 | Tessington Creamy Brie | TES-905-B | Tessington Creamy Brie Classic | false | food.dairy.cheese | high-fibre |  | true | gluten | milk | 4.0 | rice / chicken / tomato / cream / spices | 428 | Germany | ml |  49 | tes-905-b-pack_front.svg | tes-905-b-ingredient_panel.svg | tes-905-b-detail.svg | 40.0 | 09401074542700 | 
PRD-TES906 | Tessington Organic Whole Milk | TES-906-A | Tessington Organic Whole Milk | true | food.dairy.milk | high-fibre |  | true | almonds | gluten / celery  | 3.1  |  | 401 | Netherlands | ml  | 39 | tes-906-a-pack_front.svg | tes-906-a-ingredient_panel.svg | tes-906-a-detail.svg | 711.0 | 02110323915022 | checked 02/26 
