product_ref,product_name,sku,variant_name,is_base,category,claims,compliance.certificate_ref,compliance.min_age,compliance.sale_permitted,energy.class,specs.coverage_m2,specs.filter_type,specs.noise_db,specs.plug_type,specs.power_w,textile.care_code,textile.fibre_composition,image.HERO,image.IN_SITU,image.DETAIL,GTIN_14,countryOfOrigin,Supplier Notes
PRD-215,Ashcombe Stainless Steel Chef's Knife 20 cm,HOM-215-B,Ashcombe Stainless Steel Chef's Knife 20 cm Plus, false,home.cookware.knives,,,18,true,,,,,,,,,hom-215-b-hero.svg,hom-215-b-in_situ.svg,hom-215-b-detail.svg,5000000000816,Republic of Ireland,
PRD-187,Glidewell Steam Iron 2400 W,HOM-187-A,Glidewell Steam Iron 2400 W,true,home.laundry.irons,,,,true,C,,, 45,BS 1363 Type G (fused 13 A),1140,,,hom-187-a-hero.svg, hom-187-a-in_situ.svg,hom-187-a-detail.svg,5000000000613,Republic of Ireland,checked 02/26
PRD-187,Glidewell Steam Iron 2400 W,HOM-187-C,Glidewell Steam Iron 2400 W Max,FALSE,home.laundry.irons,ultra-quiet,DOC-CE-2456,,true,,,,30,USB-C 5 V,60,,,hom-187-c-hero.svg, hom-187-c-in_situ.svg,hom-187-c-detail.svg,5000000000627,Italy, as agreed with buying
PRD-215,Ashcombe Stainless Steel Chef's Knife 20 cm,HOM-215-A,Ashcombe Stainless Steel Chef's Knife 20 cm,true,home.cookware.knives,clinically proven,,18,false,,,,,,,,,hom-215-a-hero.svg,hom-215-a-in_situ.svg,hom-215-a-detail.svg , 5000000000809,Poland,
PRD-240,Ashcombe Four Piece Hand Towel Bale,HOM-240-A,Ashcombe Four Piece Hand Towel Bale,true,home.textiles.towels,cures dry skin,,,false,,,,,,,40-REG-NB-I2-P,80% Cotton | 20% Polyester,hom-240-a-hero.svg,hom-240-a-in_situ.svg,hom-240-a-detail.svg,5000000000984,Republic of Ireland,
PRD-NOR901,Northgate Bedroom Humidifier,NOR-901-A,Northgate Bedroom Humidifier,true,home.air-treatment.humidifiers,ultra-quiet ,CE-2026-36352,,true ,B ,65,HEPA H13,62,USB-C 5 V,418,,,nor-901-a-hero.svg,nor-901-a-in_situ.svg ,nor-901-a-detail.svg,02086556295396,Netherlands,checked 02/26
PRD-NOR902,Northgate Santoku Knife,NOR-902-A,Northgate Santoku Knife,true,home.cookware.knives,,,16,true,,,,,,,,,nor-902-a-hero.svg,nor-902-a-in_situ.svg,nor-902-a-detail.svg,03006723566053,United Kingdom,as agreed with buying
PRD-NOR902,Northgate Santoku Knife,NOR-902-B,Northgate Santoku Knife Everyday,No,home.cookware.knives,made-in-britain,,16,true ,,,,,,,,,nor-902-b-hero.svg,nor-902-b-in_situ.svg ,nor-902-b-detail.svg,02414464784699,Portugal,
PRD-NOR903,Northgate Wok,NOR-903-A,Northgate Wok,true,home.cookware.pans,made-in-britain,,,,,,,,,,,,nor-903-a-hero.svg,nor-903-a-in_situ.svg,nor-903-a-detail.svg,06234000083173,Italy,
PRD-NOR903,Northgate Wok ,NOR-903-B,Northgate Wok Deluxe,false,home.cookware.pans,ultra-quiet | low-energy,,,true ,,,,,,,,,nor-903-b-hero.svg,nor-903-b-in_situ.svg,nor-903-b-detail.svg,03649397651259,Spain,checked 02/26
PRD-NOR904,Northgate Compact Toaster,NOR-904-A,Northgate Compact Toaster,true ,home.kitchen.toasters,made-in-britain,CE-2024-35543,,true,B,,,47 ,USB-C 5 V,101,,,nor-904-a-hero.svg,nor-904-a-in_situ.svg,nor-904-a-detail.svg,07349269364396,France,as agreed with buying
PRD-NOR904,Northgate Compact Toaster,NOR-904-B,Northgate Compact Toaster Multipack,false,home.kitchen.toasters,ultra-quiet,CE-2026-96103,,true,C,,,43,BS 1363 Type G,1701,,,nor-904-b-hero.svg,nor-904-b-in_situ.svg,nor-904-b-detail.svg,02360200258826,Vietnam,
 PRD-NOR905,Northgate Steam Iron,NOR-905-A,Northgate Steam Iron,true,home.laundry.irons,ultra-quiet,CE-2025-58130,,true ,C,,,39 dB,BS 1363 Type G (fused 13 A),1480,,,nor-905-a-hero.svg,nor-905-a-in_situ.svg,nor-905-a-detail.svg,02547806796857,China,
PRD-NOR906,Northgate Egyptian Cotton Bath Sheet,NOR-906-A,Northgate Egyptian Cotton Bath Sheet,true,home.textiles.towels,,,,true ,,,,,,,HAND-NB-I1-F,80% Cotton | 20% Polyester ,nor-906-a-hero.svg,nor-906-a-in_situ.svg,nor-906-a-detail.svg,03237445507701,Vietnam,checked 02/26 
