product_ref,product_name,sku,variant_name,is_base,category,claims,compliance.min_age,compliance.sale_permitted,cosmetic.inci,origin.country,pack.unit,packaging.recyclable_pct,image.PACK_FRONT,image.DETAIL,netContent,GTIN_14,Buyer
PRD-241,Saltmarsh Heat Defence Spray 150 ml,HPC-241-A,Saltmarsh Heat Defence Spray 150 ml,Y,hpc.cosmetics.haircare ,clinically proven,,false,Aqua | Dimethicone | Panthenol | Citric Acid | Limonene,China,g,50%,hpc-241-a-pack_front.svg,hpc-241-a-detail.svg,110.0,5000000000991,
PRD-241,Saltmarsh Heat Defence Spray 150 ml ,HPC-241-B,Saltmarsh Heat Defence Spray 150 ml Multipack,false,hpc.cosmetics.haircare ,cures dry skin,,false,Aqua | Sodium Laureth Sulfate | Cocamidopropyl Betaine | Parfum,United Kingdom,ml,75,hpc-241-b-pack_front.svg,hpc-241-b-detail.svg,450.0,5000000000998,A. Whitfield
PRD-PET901,Petrichor Washing Up Liquid,PET-901-A, Petrichor Washing Up Liquid,true,hpc.cleaning.dishwashing,recyclable-packaging,,true,,Spain,g, 65%,pet-901-a-pack_front.svg,pet-901-a-detail.svg,909.0,00827994871420,
PRD-PET901,Petrichor Washing Up Liquid,PET-901-B,Petrichor Washing Up Liquid Deluxe,false, hpc.cleaning.dishwashing,made-in-britain,,true,,Vietnam,g,46,pet-901-b-pack_front.svg,pet-901-b-detail.svg,288.0, 05111949998056,R. Okonjo
PRD-PET902,Petrichor Glass Cleaner,PET-902-A,Petrichor Glass Cleaner,true,hpc.cleaning.surface,recyclable-packaging,,true,,Netherlands,ml, 40,pet-902-a-pack_front.svg, pet-902-a-detail.svg,,08598233591696 ,
PRD-PET903, Petrichor Curl Cream,PET-903-A,Petrichor Curl Cream,true,hpc.cosmetics.haircare,recyclable-packaging,,,Aqua | Dimethicone | Panthenol | Citric Acid | Limonene,Netherlands,ml, 25,pet-903-a-pack_front.svg,pet-903-a-detail.svg,1170.0,01434210525595,A. Whitfield
PRD-PET903 ,Petrichor Curl Cream,PET-903-B,Petrichor Curl Cream Large Pack,No,hpc.cosmetics.haircare, recyclable-packaging,,true,Aqua | Glycerin | Cetearyl Alcohol | Parfum | Citric Acid,France,g,38,pet-903-b-pack_front.svg,pet-903-b-detail.svg,261.0,01317757728064,
PRD-PET904,Petrichor Night Cream,PET-904-A,Petrichor Night Cream,true ,hpc.cosmetics.skincare,recyclable-packaging,,true,Aqua | Dimethicone | Panthenol | Citric Acid | Limonene,Portugal, ml,100%,pet-904-a-pack_front.svg,pet-904-a-detail.svg,180.0,07672821044760,R. Okonjo
PRD-PET905,Petrichor Laundry Capsules,PET-905-A,Petrichor Laundry Capsules, true,hpc.laundry.detergent,recyclable-packaging,,true,,Turkey,g,85,pet-905-a-pack_front.svg,pet-905-a-detail.svg,882.0 ,08093007737767,
PRD-PET905,Petrichor Laundry Capsules,PET-905-B,Petrichor Laundry Capsules Refill,false,hpc.laundry.detergent,recyclable-packaging,,true,,Germany,g,70%,pet-905-b-pack_front.svg,pet-905-b-detail.svg ,1122.0,02539254973219,A. Whitfield
PRD-PET906,Petrichor Recycled Kitchen Roll,PET-906-A ,Petrichor Recycled Kitchen Roll,true,hpc.paper.kitchen-roll,,,true,,United Kingdom,ml ,70%,pet-906-a-pack_front.svg, pet-906-a-detail.svg,110.0,09752592377120,
